Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
1,Vian Izak,Starlit Summer's Eve,2017-07-21,0.489,0.674,4,-7.082,1,0.0327,0.486,2.53e-06,0.113,0.305,90.052,221486,4
2,Julian Casablancas,11th Dimension,2009-10-02,0.603,0.911,6,-3.883,0,0.0431,0.00102,0.00985,0.0911,0.373,125.487,243707,4
3,Polaroid Summer,Tides,2017-11-21,0.404,0.677,4,-6.812,0,0.0723,0.012,0,0.364,0.49,174.808,194303,4
4,Phoenix,1901,2009-05-12,0.59,0.836,0,-5.391,1,0.0425,0.0576,2.38e-05,0.196,0.693,144.066,193120,4
5,Neon Trees,1983,2010-01-01,0.47,0.978,10,-3.899,1,0.174,0.000105,0,0.0994,0.731,153.014,222560,4
6,Incubus,Adolescents,2011-07-08,0.525,0.758,1,-6.671,1,0.0323,0.0567,0.00264,0.0944,0.386,159.996,288840,3
7,Local Natives,Airplanes,2010-02-16,0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,0.591,95.971,237933,4
8,Yeasayer,Ambling Alp,2010-02-08,0.588,0.863,9,-6.481,1,0.0822,0.0102,3.14e-05,0.186,0.412,108.002,237440,3
9,Neon Trees,Animal,2010-01-01,0.486,0.831,5,-5.5,1,0.0506,0.000392,0,0.363,0.8,148.026,212293,4
10,Manchester Orchestra,April Fool,2011-05-06,0.278,0.855,1,-5.845,1,0.144,0.00249,4.37e-06,0.185,0.399,167.718,261440,4
11,Cage The Elephant,Around My Head,2011,0.516,0.959,2,-2.484,1,0.0597,0.000659,4.44e-06,0.046,0.474,109.91,191600,4
12,Kings of Leon,Back Down South,2010-10-19,0.476,0.619,0,-7.221,1,0.0398,0.0634,0.00075,0.258,0.154,117.113,241227,4
13,Interpol,Barricade,2010-09-07,0.584,0.873,4,-5.813,0,0.0554,5.67e-05,0.00109,0.0953,0.667,126.451,250000,4
14,AFI,Beautiful Thieves,2009-01-01,0.264,0.911,4,-5.102,1,0.0755,0.000961,0.000237,0.386,0.209,173.329,226027,4
