String,Uri
"[""KC and the Sunshine Band - Please Don't Go""]",spotify:track:6dw6BquK0Mv72p6HpusqKN
['Michael Jackson - Rock with You'],spotify:track:7oOOI85fVQvVnK5ynNMdW7
['Captain & Tennille - Do That to Me One More Time'],spotify:track:0m4jVVZrsv0bLkAr1uM6UG
['Queen - Crazy Little Thing Called Love'],spotify:track:35ItUJlMtjOQW3SSiTCrrw
['Pink Floyd - Another Brick in the Wall (Part 2)'],spotify:track:4UjU8YmDOrw1yIFqYd1Afo
['Blondie - Call Me (1980)'],spotify:track:3yq71OsrmoLw9F74me96hx
"['Lipps', ' Inc. - Funkytown']",spotify:track:7723JnKU2R15Iv4T7OJrly
['Paul McCartney - Coming Up (Live at Glasgow)'],spotify:track:0Ix1999mTT1A3TF6Bywgv5
"[""Billy Joel - It's Still Rock and Roll to Me""]",spotify:track:64UioB4Nmwgn2f4cbIpAkl
['Olivia Newton-John - Magic'],spotify:track:56BSwBKWHYldQOgYLHiehs
['Christopher Cross - Sailing'],spotify:track:6Hu6dzwlvoyg3zBUC8k4BK
['Diana Ross - Upside Down'],spotify:track:3pbtBomO4Zt5gGiqsYeiBH
['Queen - Another One Bites the Dust'],spotify:track:57JVGBtBLCfHw2muk5416J
['Barbra Streisand - Woman in Love'],spotify:track:1pTGc8pwyo6xtgXBKCBcFn
['Kenny Rogers - Lady'],spotify:track:5Pj5zrq2nbKcAekH1AxbrO
['John Lennon - (Just Like) Starting Over'],spotify:track:7tqQI7nmRAqX0g8bIYDXmF
['Blondie - The Tide Is High'],spotify:track:165NAtd2DRPKNQ6EVY0VG9
['Kool & the Gang - Celebration'],spotify:track:0CUEc6T65lrU6rVW3HVYsl
['Dolly Parton - 9 to 5'],spotify:track:4w3tQBXhn5345eUXDGBWZG
['Eddie Rabbitt - I Love a Rainy Night'],spotify:track:0zvNHIL7ci0ZzIoWU6RO2u
['REO Speedwagon - Keep On Loving You'],spotify:track:4rcHWl68ai6KvpXlc8vbnE
['Blondie - Rapture'],spotify:track:6F2vo4sxRNQ58VYe3pdiaL
['Daryl Hall and John Oates - Kiss on My List'],spotify:track:7cDzJyC95jtGO9zAeZsWOg
['Sheena Easton - Morning Train (Nine to Five)'],spotify:track:6CEKntwndUlmWhSRflWA5X
['Kim Carnes - Bette Davis Eyes (1981)'],spotify:track:4sgPZ8PcJ8y8KvSQk8MpFT
"[""Stars on 45 - Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45""]",not found
['Air Supply - The One That You Love'],spotify:track:3FDAd5vW4P7xe1GBNOLyfD
"[""Rick Springfield - Jessie's Girl""]",spotify:track:5RsUlxLto4NZbhJpqJbHfN
['Diana Ross\xa0and\xa0Lionel Richie - Endless Love'],spotify:track:7j0XV1iJznHO5hFF1esjC5
"[""Christopher Cross - Arthur's Theme (Best That You Can Do)""]",spotify:track:5fnOrhQ4KgT5irGCjIccGH
